ethnic_group	distance	source
Kinh	0.619509500078284	1KG
Han.South.China	0.619698050810253	1KG
Han.Dallas	0.622679660310717	HapMap
Dyak	0.623454868777498	Reich2011
Han	0.625168614122902	HGDP
Dai	0.625507551578514	1KG
Miaozu	0.625782111306472	HGDP
Dai	0.626142841351883	HGDP
Tujia	0.627222481382423	HGDP
Han.Beijing	0.627223050500722	HapMap
Han.Beijing	0.627518935791195	1KG
Khmer	0.629147487294064	HGDP
Japanese	0.629759308077474	HGDP
Burmese	0.631322838208455	Chaubey2010
Tu	0.632029000564583	HGDP
She	0.633005070503723	HGDP
Japanese	0.633236274068193	HapMap
Mongolian	0.634620998973752	HGDP
Japanese	0.635877817232706	1KG
Yizu	0.636072671225297	HGDP
Temuan	0.641390367288823	Reich2011
Lahu	0.642187570922079	HGDP
Manobo	0.643898790194141	Reich2011
Tibetan	0.645321459228416	Wuren2014
Oroqen	0.648116739833758	HGDP
Buryat	0.650053988835261	Rasmussen2010
Kyrgyz	0.650172606447781	Raghavan2013
Bidayuh	0.65294501629421	Reich2011
Tuvan	0.653661082848113	Rasmussen2010
Kazakh	0.657341816531288	Raghavan2013
Altai	0.659121584680187	Rasmussen2010
Yakut	0.662670265147243	HGDP
Mamanwa	0.662958688295475	Reich2011
Uygur	0.664849056728013	HGDP
Khaskassian	0.665201181408544	Fedorova2013
Hazara	0.665288641663884	HGDP
Evenki	0.665851998851059	Rasmussen2010
Polynesian	0.672124943307732	Reich2011
Uzbek	0.674253407795563	Behar2010
Uzbek	0.675765242318882	Hellenthal2014
Dravidian	0.682892974721706	Reich2011
Jehai	0.686224553205115	Reich2011
Selkup	0.686565632649211	Rasmussen2010
Bengali	0.688420774070747	1KG
Nganassan	0.691053841531226	Rasmussen2010
Chukchi	0.693305366338529	Rasmussen2010
Telugu	0.696390901823009	1KG
Fijian	0.697999013487649	Reich2011
Tamil	0.700119389259352	1KG
Mexican	0.70035942537654	1KG
Western.Greenlander	0.701661045751629	Rasmussen2010
Punjabi	0.702387873988754	1KG
Burusho	0.702845291304875	HGDP
Gujarati	0.702927410873685	HapMap
Gujarati	0.703106726664048	1KG
Nogai	0.70505916248786	Yunusbayev2011
Mari	0.70594472931125	Raghavan2013
Chuvash	0.708332120065392	Behar2010
Sindhi	0.712766194708436	HGDP
Colombian	0.714028385226733	1KG
Pathan	0.71408593966031	HGDP
Turkmen	0.716747775354914	Yunusbayev2011
Na.Dene	0.720056743649231	TU
Eastern.Greenlander	0.720271424289077	Rasmussen2010
Mexican	0.721118419559301	HapMap
Peruvian	0.721305536602508	1KG
Puerto.Rican	0.722284348756109	1KG
Balochi	0.72232526363097	HGDP
Makrani	0.72302493287919	HGDP
Brahui	0.724638936625885	HGDP
Kumyk	0.725526062917104	Yunusbayev2011
Maya	0.728686188381431	HGDP
Balkar	0.729344301722045	Yunusbayev2011
Turkish	0.729409510636888	Behar2010
Ossetian	0.729674085061321	Yunusbayev2011
Emirati	0.729675983574056	Hellenthal2014
Iranian	0.731464087879972	Behar2010
Russian	0.734276128796961	HGDP
